"Index","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Available","Backorder","Unit Price","Extended Price USD"
"1","1","ATMEGA328PB-AU-ND","ATMEGA328PB-AU","IC MCU 8BIT 32KB FLASH 32TQFP","","1","0","1.63000","1.63"
"2","1","ATMEGA328PB-AURCT-ND","ATMEGA328PB-AUR","IC MCU 8BIT 32KB FLASH 32TQFP","","1","0","1.70000","1.70"
"3","1","ATMEGA328-PU-ND","ATMEGA328-PU","IC MCU 8BIT 32KB FLASH 28DIP","","1","0","2.63000","2.63"
"4","1","ATMEGA328P-AU-ND","ATMEGA328P-AU","IC MCU 8BIT 32KB FLASH 32TQFP","","1","0","2.66000","2.66"
"5","1","ATMEGA328P-AN-ND","ATMEGA328P-AN","IC MCU 8BIT 32KB FLASH 32TQFP","","1","0","2.80000","2.80"
"6","1","ATMEGA328P-PU-ND","ATMEGA328P-PU","IC MCU 8BIT 32KB FLASH 28DIP","","1","0","2.89000","2.89"
"7","1","ATMEGA328P-PN-ND","ATMEGA328P-PN","IC MCU 8BIT 32KB FLASH 28DIP","","1","0","3.03000","3.03"
"8","1","ATTINY412-SSFRCT-ND","ATTINY412-SSFR","IC MCU 8BIT 4KB FLASH 8SOIC","","1","0","0.59000","0.59"
"9","1","ATTINY412-SSF-ND","ATTINY412-SSF","IC MCU 8BIT 4KB FLASH 8SOIC","","1","0","0.55000","0.55"
"10","1","ATTINY412-SSNRCT-ND","ATTINY412-SSNR","IC MCU 8BIT 4KB FLASH 8SOIC","","1","0","0.58000","0.58"
"11","1","ATTINY1614-SSNRCT-ND","ATTINY1614-SSNR","IC MCU 8BIT 16KB FLASH 14SOIC","","1","0","0.90000","0.90"
"12","1","ATTINY1614-SSFRCT-ND","ATTINY1614-SSFR","IC MCU 8BIT 16KB FLASH 14SOIC","","1","0","0.92000","0.92"
"13","1","ATTINY1614-SSN-ND","ATTINY1614-SSN","IC MCU 8BIT 16KB FLASH 14SOIC","","1","0","0.90000","0.90"
"14","1","1188-SMDICCH32V003J4M6-ND","SMD IC CH32V003J4M6","SMD IC CH32V003J4M6","","0","1","0.32000","0.32"
"15","1","1188-SMDICCH32V003A4M6-ND","SMD IC CH32V003A4M6","SMD IC CH32V003A4M6","","0","1","0.51000","0.51"
"16","1","497-STM32G030F6P6TRCT-ND","STM32G030F6P6TR","IC MCU 32BIT 32KB FLASH 20TSSOP","","1","0","1.34000","1.34"
"17","1","497-STM32C011F6P6-ND","STM32C011F6P6","IC MCU 32BIT 32KB FLASH 20TSSOP","","1","0","1.34000","1.34"
"18","1","497-STM32C051K8T6-ND","STM32C051K8T6","MAINSTREAM ARM CORTEX-M0+ MCU WI","","1","0","1.45000","1.45"
"19","1","497-17333-1-ND","STM32F030F4P6TR","IC MCU 32BIT 16KB FLASH 20TSSOP","","1","0","1.65000","1.65"
"20","1","497-19367-1-ND","STM32L031F6P6TR","IC MCU 32BIT 32KB FLASH 20TSSOP","","1","0","1.81000","1.81"
"21","1","497-STM32G030F6P6-ND","STM32G030F6P6","IC MCU 32BIT 32KB FLASH 20TSSOP","","1","0","1.86000","1.86"
"22","1","497-17485-ND","STM32L031G6U6","IC MCU 32BIT 32KB FLASH 28UFQFPN","","1","0","1.94000","1.94"

